"AnnPrecip" "MeanJanTemp" "MeanJulyTemp" "PctGT65" "PopPerHouse" "School" "PctSound" "PopPerSqMile" "PctNonWhite" "PctWhiteCollar" "PctU20000" "log.Hydro" "log.Nit" "log.SO2" "RelHumid" "AAMort"
"1" 36 27 71 8.1 3.34 12.4 81.5 3243 8.8 42.6 11.7 3.04452243772342 2.70805020110221 4.07753744390572 59 921.87
"2" 35 23 72 11.1 3.14 12 78.8 4281 3.5 50.7 14.4 2.07944154167984 2.30258509299405 3.66356164612965 57 997.88
"3" 44 29 74 10.4 3.21 10.8 81.6 4260 0.8 39.4 12.4 1.79175946922805 1.79175946922805 3.49650756146648 54 962.35
"4" 47 45 79 6.5 3.41 12.1 77.5 3125 27.1 50.2 20.6 2.89037175789616 2.07944154167984 3.17805383034795 56 982.29
"5" 43 35 77 7.6 3.44 10.6 84.6 6441 24.4 43.7 14.3 3.76120011569356 3.63758615972639 5.32787616878958 55 1071.29
"6" 53 45 80 7.7 3.45 11.2 66.8 3325 38.5 43.1 25.5 3.40119738166216 3.46573590279973 4.27666611901606 54 1030.38
"7" 43 30 74 10.9 3.23 13.1 83.9 4679 3.5 49.2 11.3 3.04452243772342 3.46573590279973 4.12713438504509 56 934.7
"8" 45 30 73 9.3 3.29 11.6 86 2140 5.3 40.4 10.5 1.79175946922805 1.38629436111989 1.38629436111989 56 899.53
"9" 36 24 70 9 3.31 11.5 83.2 6582 8.1 42.5 12.6 2.89037175789616 2.484906649788 3.61091791264422 61 1001.9
"10" 36 27 72 9.5 3.36 11.7 79.3 4213 6.7 41 13.2 2.484906649788 1.94591014905531 2.99573227355399 59 912.35
"11" 52 42 79 7.7 3.39 10.6 69.2 2302 22.2 41.3 24.2 2.89037175789616 2.07944154167984 3.29583686600433 56 1017.61
"12" 33 26 76 8.6 3.2 11.9 83.4 6122 16.3 44.9 10.7 4.47733681447821 4.14313472639153 5.62762111369064 58 1024.89
"13" 40 34 77 9.2 3.21 11.2 77 4101 13 45.7 15.1 3.25809653802148 3.25809653802148 4.98360662170834 57 970.47
"14" 35 28 71 8.8 3.29 12.1 86.3 3042 14.7 44.6 11.4 3.43398720448515 3.04452243772342 4.15888308335967 60 985.95
"15" 37 31 75 8 3.26 12.9 78.4 4259 13.1 49.6 13.9 3.13549421592915 2.19722457733622 2.70805020110221 58 958.84
"16" 35 46 85 7.1 3.22 12.8 79.9 1441 14.8 51.2 16.1 0 0 0 54 860.1
"17" 36 30 75 7.5 3.35 12.4 81.9 4029 12.4 44 12 1.79175946922805 1.38629436111989 2.77258872223978 58 936.23
"18" 15 30 73 8.2 3.15 13.2 84.2 4824 4.7 53.1 12.7 2.83321334405622 2.07944154167984 3.3322045101752 38 871.77
"19" 31 27 74 7.2 3.44 11.8 87 4834 15.8 43.5 13.6 3.95124371858143 3.55534806148941 4.82028156560504 59 959.22
"20" 30 24 72 6.5 3.53 11.8 79.5 3694 13.1 33.8 12.4 2.39789527279837 1.38629436111989 2.39789527279837 61 941.18
