"Status","Life.expectancy","Adult.Mortality","Hepatitis.B","Measles","BMI","Polio","Diphtheria","GDP","Population","Schooling"
"Developing",66.3,198,82,0,77.6,8,71,1424.483611,11247,11.9
"Developing",73.5,133,78,0,75.2,8,78,493.775387,16364,14.3
"Developing",74,125,59,0,74.7,61,76,4149.363444,193759,12.9
"Developed",82,63,94,0,61.3,99,999,1199.8223,56964,13.9
"Developed",85,52,97,0,6.3,97,99,2375.1127,116985,14.3
"Developing",82.2,104,55,195,67,91,90,43315.744,3584861,16.3
"Developed",81.1,76,98,8,61.6,98,98,1922.681,135876,16.6
"Developed",82.4,53,67,22,59.5,98,98,5585.25847,9799186,15.9
"Developed",81.7,54,95,2,69.6,97,97,23819.4636,431874,14.6
"Developing",61,102,96,1,66.5,99,65,187.78991,182883,17.2
"Developing",54.9,108,81,39,66.1,75,59,846.632851,5851479,13.3
"Developing",73.8,106,97,342,66.1,97,77,1979.52569,78271472,14.5
"Developed",82.8,56,97,115,66.6,97,97,25683.84565,46447697,17.7
"Developing",64.1,112,99,0,65.6,99,77,496.99275,915932,13.1
"Developing",62.5,108,96,80,64.9,95,65,35729.37253,8381,16
"Developing",70,116,95,0,64,95,75,15524.84247,3431552,15.5
"Developing",65,102,97,9,63.8,96,66,13653.2264,17762681,16.3
"Developed",81.9,57,94,7,62.1,95,95,44292.88473,16939923,18.1
"Developing",70.7,122,82,0,63.5,87,74,9143.128494,12589949,13.3
"Developing",66.3,116,94,0,62.8,93,74,13467.1236,43417765,17.3
"Developed",82.8,59,93,74,66.6,93,94,56554.3876,23789338,20.4
"Developing",69.9,188,99,0,62.7,99,69,4921.89629,892149,15.3
"Developing",77.4,108,86,157,62.5,98,80,36526.7711,6662468,16.3
"Developing",62.3,196,99,2,62.3,99,69,5949.11677,9489616,15.6
"Developed",82.7,56,93,159,63.6,93,93,349.14755,673582,16.3
"Developed",81.5,65,93,309,57.6,93,93,43665.947,8633169,15.9
"Developing",71.1,106,82,0,61.8,89,74,6461.192554,622159,15.1
"Developed",81.1,74,98,47,63.7,99,92,4356.875,11274196,16.6
"Developing",71.3,195,22,105,61.3,51,77,2124.662666,4515429,15.3
"Developed",81.4,64,95,4,62.8,95,92,6664.144,4676835,18.6
"Developing",74.3,101,98,16,61.2,98,78,3828.91589,11273661,14.6
"Developed",81,68,88,2464,62.3,94,91,41176.88158,81686611,17.1
"Developing",70.6,119,91,4,59.9,93,76,1774.9291,131547,16.5
"Developing",55.6,109,95,63,59.5,95,65,4132.76292,39871528,14.4
"Developed",75,93,9,4,6.7,89,89,8958.788593,19815481,14.7
"Developing",68.9,182,56,1433,59.1,63,68,4974.2693,36115649,10.1
