species,bill_length_mm,bill_depth_mm,flipper_length_mm,body_mass_g,sex
Adelie,39.1,18.7,181,3452.5,male
Adelie,39.5,17.4,186,3494.444444,female
Adelie,40.3,18,195,3063.611111,female
Adelie,36.7,0,193,3212.5,female
Adelie,39.3,20.6,190,3370.277778,male
Adelie,38.9,17.8,181,3350.069444,female
Adelie,39.2,19.6,195,4318.402778,male
Adelie,41.1,17.6,182,3027.777778,female
Adelie,38.6,21.2,191,3494.444444,male
Adelie,34.6,0,198,4041.111111,male
Adelie,36.6,17.8,185,3411.111111,female
Adelie,38.7,19,195,3212.5,female
Adelie,42.5,20.7,197,4140,male
Adelie,34.4,0,184,3118.402778,female
Adelie,46,21.5,194,3850,male
Adelie,37.8,18.3,174,3174.444444,female
Adelie,37.7,18.7,180,3330,male
Adelie,35.9,19.2,189,3494.444444,female
Adelie,38.2,18.1,185,3623.611111,male
Adelie,38.8,17.2,180,3494.444444,male
Adelie,35.3,18.9,187,3494.444444,female
Adelie,40.6,18.6,183,3290.277778,male
Adelie,40.5,17.9,187,3027.777778,female
Adelie,37.9,18.6,172,2992.5,female
Adelie,40.5,18.9,180,3623.611111,male
Adelie,39.5,16.7,178,3063.611111,female
Adelie,37.2,18.1,178,3580,male
Adelie,39.5,17.8,188,3100,female
Adelie,40.9,18.9,184,3580,male
Adelie,36.4,17,195,3118.402778,female
Adelie,39.2,21.1,196,3803.611111,male
Adelie,38.8,20,190,3623.611111,male
Adelie,42.2,18.5,180,3290.277778,female
Adelie,37.6,19.3,181,3100,female
Adelie,39.8,19.1,184,4292.5,male
Adelie,36.5,18,182,2992.5,female
Adelie,40.8,18.4,195,3580,male
Adelie,36,18.5,186,2957.777778,female
Adelie,44.1,19.7,196,4041.111111,male
Adelie,37,16.9,185,2890,female
Adelie,39.6,18.8,190,4241.111111,male
Adelie,41.1,19,182,3193.402778,male
Adelie,36,17.9,190,3212.5,female
Adelie,42.3,21.2,191,3803.611111,male
Adelie,39.6,17.7,186,3251.111111,female
Adelie,40.1,18.9,188,3944.444444,male
Adelie,35,17.9,190,3212.5,female
Adelie,42,0,200,3712.5,male
